Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,November,DAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,MAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,MOP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,NPK,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,TSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,UREA,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,SSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,DAP,Andhra Pradesh,35000.00,6410.10,,,
2014-2015,November,MAP,Andhra Pradesh,0.00,0.00,,,
2014-2015,November,MOP,Andhra Pradesh,20000.00,20359.60,,,
2014-2015,November,NPK,Andhra Pradesh,125000.00,37877.06,,,
2014-2015,November,TSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,November,UREA,Andhra Pradesh,150000.00,2602.90,,,
2014-2015,November,SSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,November,DAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,MAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,MOP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,NPK,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,TSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,UREA,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,SSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,DAP,Assam,0.00,364.80,,,
2014-2015,November,MAP,Assam,0.00,0.00,,,
2014-2015,November,MOP,Assam,0.00,9484.45,,,
2014-2015,November,NPK,Assam,0.00,2984.65,,,
2014-2015,November,TSP,Assam,0.00,0.00,,,
2014-2015,November,UREA,Assam,0.00,1758.75,,,
2014-2015,November,SSP,Assam,0.00,0.00,,,
2014-2015,November,DAP,Bihar,0.00,20251.25,,,
2014-2015,November,MAP,Bihar,0.00,0.00,,,
2014-2015,November,MOP,Bihar,0.00,15996.65,,,
2014-2015,November,NPK,Bihar,0.00,24277.10,,,
2014-2015,November,TSP,Bihar,0.00,7673.75,,,
2014-2015,November,UREA,Bihar,0.00,11601.64,,,
2014-2015,November,SSP,Bihar,0.00,0.00,,,
2014-2015,November,DAP,Chandigarh,0.00,0.00,,,
2014-2015,November,MAP,Chandigarh,0.00,0.00,,,
2014-2015,November,MOP,Chandigarh,0.00,0.00,,,
2014-2015,November,NPK,Chandigarh,0.00,0.00,,,
2014-2015,November,TSP,Chandigarh,0.00,0.00,,,
2014-2015,November,UREA,Chandigarh,0.00,0.00,,,
2014-2015,November,SSP,Chandigarh,0.00,0.00,,,
2014-2015,November,DAP,Chattishgarh,0.00,6454.40,,,
2014-2015,November,MAP,Chattishgarh,0.00,0.00,,,
2014-2015,November,MOP,Chattishgarh,0.00,16932.65,,,
2014-2015,November,NPK,Chattishgarh,0.00,4963.70,,,
2014-2015,November,TSP,Chattishgarh,0.00,3858.25,,,
2014-2015,November,UREA,Chattishgarh,0.00,643.35,,,
2014-2015,November,SSP,Chattishgarh,0.00,0.00,,,
2014-2015,November,DAP,Dadra & Nagar Haveli,0.00,17.00,,,
2014-2015,November,MAP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,November,MOP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,November,NPK,Dadra & Nagar Haveli,0.00,26.95,,,
2014-2015,November,TSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,November,UREA,Dadra & Nagar Haveli,0.00,37.00,,,
2014-2015,November,SSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,November,DAP,Daman & Diu,0.00,0.00,,,
2014-2015,November,MAP,Daman & Diu,0.00,0.00,,,
2014-2015,November,MOP,Daman & Diu,0.00,0.00,,,
2014-2015,November,NPK,Daman & Diu,0.00,0.00,,,
2014-2015,November,TSP,Daman & Diu,0.00,0.00,,,
2014-2015,November,UREA,Daman & Diu,0.00,0.00,,,
2014-2015,November,SSP,Daman & Diu,0.00,0.00,,,
2014-2015,November,DAP,Delhi,0.00,0.00,,,
2014-2015,November,MAP,Delhi,0.00,0.00,,,
2014-2015,November,MOP,Delhi,0.00,0.00,,,
2014-2015,November,NPK,Delhi,0.00,0.00,,,
2014-2015,November,TSP,Delhi,0.00,0.00,,,
2014-2015,November,UREA,Delhi,1500.00,0.00,,,
2014-2015,November,SSP,Delhi,0.00,0.00,,,
2014-2015,November,DAP,Goa,0.00,31.75,,,
2014-2015,November,MAP,Goa,0.00,0.00,,,
2014-2015,November,MOP,Goa,0.00,0.00,,,
2014-2015,November,NPK,Goa,0.00,9.30,,,
2014-2015,November,TSP,Goa,0.00,0.00,,,
2014-2015,November,UREA,Goa,0.00,8.50,,,
2014-2015,November,SSP,Goa,0.00,0.00,,,
2014-2015,November,DAP,Gujarat,0.00,12843.35,,,
2014-2015,November,MAP,Gujarat,0.00,0.00,,,
2014-2015,November,MOP,Gujarat,0.00,6749.00,,,
2014-2015,November,NPK,Gujarat,0.00,16553.63,,,
2014-2015,November,TSP,Gujarat,0.00,6313.85,,,
2014-2015,November,UREA,Gujarat,0.00,7198.71,,,
2014-2015,November,SSP,Gujarat,0.00,0.00,,,
2014-2015,November,DAP,Harayana,0.00,7255.65,,,
2014-2015,November,MAP,Harayana,0.00,0.00,,,
2014-2015,November,MOP,Harayana,0.00,8068.85,,,
2014-2015,November,NPK,Harayana,0.00,3965.60,,,
2014-2015,November,TSP,Harayana,0.00,0.00,,,
2014-2015,November,UREA,Harayana,0.00,5462.60,,,
2014-2015,November,SSP,Harayana,0.00,0.00,,,
2014-2015,November,DAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,MAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,MOP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,NPK,Himachal Pradesh,0.00,155.40,,,
2014-2015,November,TSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,UREA,Himachal Pradesh,0.00,25.25,,,
2014-2015,November,SSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,DAP,Jammu & Kashmir,0.00,2770.60,,,
2014-2015,November,MAP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,November,MOP,Jammu & Kashmir,0.00,339.35,,,
2014-2015,November,NPK,Jammu & Kashmir,0.00,0.00,,,
2014-2015,November,TSP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,November,UREA,Jammu & Kashmir,0.00,1387.20,,,
2014-2015,November,SSP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,November,DAP,Jharkhand,0.00,2136.75,,,
2014-2015,November,MAP,Jharkhand,0.00,0.00,,,
2014-2015,November,MOP,Jharkhand,0.00,4.50,,,
2014-2015,November,NPK,Jharkhand,0.00,1152.90,,,
2014-2015,November,TSP,Jharkhand,0.00,0.00,,,
2014-2015,November,UREA,Jharkhand,0.00,7956.60,,,
2014-2015,November,SSP,Jharkhand,0.00,0.00,,,
2014-2015,November,DAP,Karnataka,50000.00,4994.35,,,
2014-2015,November,MAP,Karnataka,0.00,0.00,,,
2014-2015,November,MOP,Karnataka,22000.00,20309.56,,,
2014-2015,November,NPK,Karnataka,105000.00,61839.39,,,
2014-2015,November,TSP,Karnataka,0.00,11905.40,,,
2014-2015,November,UREA,Karnataka,105000.00,4856.83,,,
2014-2015,November,SSP,Karnataka,0.00,0.00,,,
2014-2015,November,SSP,Karnataka,7650.00,0.00,,,
2014-2015,November,DAP,Kerala,0.00,384.40,,,
2014-2015,November,MAP,Kerala,0.00,0.00,,,
2014-2015,November,MOP,Kerala,0.00,4346.44,,,
2014-2015,November,NPK,Kerala,0.00,13216.99,,,
2014-2015,November,TSP,Kerala,0.00,3156.75,,,
2014-2015,November,UREA,Kerala,0.00,6.70,,,
2014-2015,November,SSP,Kerala,0.00,0.00,,,
2014-2015,November,DAP,Lakshadweep,0.00,0.00,,,
2014-2015,November,MAP,Lakshadweep,0.00,0.00,,,
2014-2015,November,MOP,Lakshadweep,0.00,0.00,,,
2014-2015,November,NPK,Lakshadweep,0.00,0.00,,,
2014-2015,November,TSP,Lakshadweep,0.00,0.00,,,
2014-2015,November,UREA,Lakshadweep,0.00,0.00,,,
2014-2015,November,SSP,Lakshadweep,0.00,0.00,,,
2014-2015,November,DAP,Madhya Pradesh,0.00,11417.37,,,
2014-2015,November,MAP,Madhya Pradesh,0.00,0.00,,,
2014-2015,November,MOP,Madhya Pradesh,0.00,17839.55,,,
2014-2015,November,NPK,Madhya Pradesh,0.00,6199.15,,,
2014-2015,November,TSP,Madhya Pradesh,0.00,8443.85,,,
2014-2015,November,UREA,Madhya Pradesh,0.00,7584.30,,,
2014-2015,November,SSP,Madhya Pradesh,0.00,0.00,,,
2014-2015,November,DAP,Maharastra,0.00,4803.97,,,
2014-2015,November,MAP,Maharastra,0.00,0.00,,,
2014-2015,November,MOP,Maharastra,0.00,75038.42,,,
2014-2015,November,NPK,Maharastra,0.00,59853.38,,,
2014-2015,November,TSP,Maharastra,0.00,0.00,,,
2014-2015,November,UREA,Maharastra,0.00,23875.79,,,
2014-2015,November,SSP,Maharastra,0.00,0.00,,,
2014-2015,November,DAP,Manipur,0.00,0.00,,,
2014-2015,November,MAP,Manipur,0.00,0.00,,,
2014-2015,November,MOP,Manipur,0.00,0.00,,,
2014-2015,November,NPK,Manipur,0.00,0.00,,,
2014-2015,November,TSP,Manipur,0.00,0.00,,,
2014-2015,November,UREA,Manipur,0.00,0.00,,,
2014-2015,November,SSP,Manipur,0.00,0.00,,,
2014-2015,November,DAP,Megalaya,0.00,0.00,,,
2014-2015,November,MAP,Megalaya,0.00,0.00,,,
2014-2015,November,MOP,Megalaya,0.00,0.00,,,
2014-2015,November,NPK,Megalaya,0.00,0.00,,,
2014-2015,November,TSP,Megalaya,0.00,0.00,,,
2014-2015,November,UREA,Megalaya,0.00,0.00,,,
2014-2015,November,SSP,Megalaya,0.00,0.00,,,
2014-2015,November,DAP,Mizoram,0.00,0.00,,,
2014-2015,November,MAP,Mizoram,0.00,0.00,,,
2014-2015,November,MOP,Mizoram,0.00,0.00,,,
2014-2015,November,NPK,Mizoram,0.00,0.00,,,
2014-2015,November,TSP,Mizoram,0.00,0.00,,,
2014-2015,November,UREA,Mizoram,0.00,0.00,,,
2014-2015,November,SSP,Mizoram,0.00,0.00,,,
2014-2015,November,DAP,Nagaland,0.00,0.00,,,
2014-2015,November,MAP,Nagaland,0.00,0.00,,,
2014-2015,November,MOP,Nagaland,0.00,0.00,,,
2014-2015,November,NPK,Nagaland,0.00,0.00,,,
2014-2015,November,TSP,Nagaland,0.00,0.00,,,
2014-2015,November,UREA,Nagaland,0.00,0.00,,,
2014-2015,November,SSP,Nagaland,0.00,0.00,,,
2014-2015,November,DAP,Orissa,0.00,6952.35,,,
2014-2015,November,MAP,Orissa,0.00,0.00,,,
2014-2015,November,MOP,Orissa,0.00,6331.90,,,
2014-2015,November,NPK,Orissa,0.00,9005.05,,,
2014-2015,November,TSP,Orissa,0.00,0.00,,,
2014-2015,November,UREA,Orissa,0.00,4968.20,,,
2014-2015,November,SSP,Orissa,0.00,0.00,,,
2014-2015,November,DAP,Pondicherry,0.00,48.00,,,
2014-2015,November,MAP,Pondicherry,0.00,0.00,,,
2014-2015,November,MOP,Pondicherry,0.00,17.00,,,
2014-2015,November,NPK,Pondicherry,0.00,30.20,,,
2014-2015,November,TSP,Pondicherry,0.00,0.00,,,
2014-2015,November,UREA,Pondicherry,0.00,0.85,,,
2014-2015,November,SSP,Pondicherry,0.00,0.00,,,
2014-2015,November,SSP,Pondicherry,0.00,0.00,,,
2014-2015,November,DAP,Punjab,0.00,37172.45,,,
2014-2015,November,MAP,Punjab,0.00,0.00,,,
2014-2015,November,MOP,Punjab,0.00,7712.50,,,
2014-2015,November,NPK,Punjab,0.00,3118.65,,,
2014-2015,November,TSP,Punjab,0.00,3355.30,,,
2014-2015,November,UREA,Punjab,0.00,6420.85,,,
2014-2015,November,SSP,Punjab,0.00,0.00,,,
2014-2015,November,DAP,Rajasthan,0.00,2379.45,,,
2014-2015,November,MAP,Rajasthan,0.00,0.00,,,
2014-2015,November,MOP,Rajasthan,0.00,3277.65,,,
2014-2015,November,NPK,Rajasthan,0.00,1296.35,,,
2014-2015,November,TSP,Rajasthan,0.00,3526.25,,,
2014-2015,November,UREA,Rajasthan,0.00,8911.60,,,
2014-2015,November,SSP,Rajasthan,0.00,0.00,,,
2014-2015,November,DAP,Sikkim,0.00,0.00,,,
2014-2015,November,MAP,Sikkim,0.00,0.00,,,
2014-2015,November,MOP,Sikkim,0.00,0.00,,,
2014-2015,November,NPK,Sikkim,0.00,0.00,,,
2014-2015,November,TSP,Sikkim,0.00,0.00,,,
2014-2015,November,UREA,Sikkim,0.00,0.00,,,
2014-2015,November,SSP,Sikkim,0.00,0.00,,,
2014-2015,November,DAP,Tamil Nadu,0.00,3470.70,,,
2014-2015,November,MAP,Tamil Nadu,0.00,0.00,,,
2014-2015,November,MOP,Tamil Nadu,0.00,5008.95,,,
2014-2015,November,NPK,Tamil Nadu,0.00,16912.62,,,
2014-2015,November,TSP,Tamil Nadu,0.00,0.00,,,
2014-2015,November,UREA,Tamil Nadu,0.00,267.71,,,
2014-2015,November,SSP,Tamil Nadu,0.00,0.00,,,
2014-2015,November,DAP,Tripura,0.00,8.55,,,
2014-2015,November,MAP,Tripura,0.00,0.00,,,
2014-2015,November,MOP,Tripura,0.00,0.00,,,
2014-2015,November,NPK,Tripura,0.00,26.95,,,
2014-2015,November,TSP,Tripura,0.00,0.00,,,
2014-2015,November,UREA,Tripura,0.00,772.75,,,
2014-2015,November,SSP,Tripura,0.00,0.00,,,
2014-2015,November,DAP,Telangana,20000.00,4565.70,,,
2014-2015,November,MAP,Telangana,0.00,0.00,,,
2014-2015,November,MOP,Telangana,6000.00,9049.95,,,
2014-2015,November,NPK,Telangana,50000.00,32706.82,,,
2014-2015,November,TSP,Telangana,0.00,0.00,,,
2014-2015,November,UREA,Telangana,100000.00,6741.45,,,
2014-2015,November,SSP,Telangana,0.00,0.00,,,
2014-2015,November,DAP,Uttar Pradesh,0.00,44292.30,,,
2014-2015,November,MAP,Uttar Pradesh,0.00,0.00,,,
2014-2015,November,MOP,Uttar Pradesh,0.00,11756.10,,,
2014-2015,November,NPK,Uttar Pradesh,0.00,33582.35,,,
2014-2015,November,TSP,Uttar Pradesh,0.00,16125.25,,,
2014-2015,November,UREA,Uttar Pradesh,0.00,124310.45,,,
2014-2015,November,SSP,Uttar Pradesh,0.00,0.00,,,
2014-2015,November,DAP,Uttaranchal,0.00,2865.20,,,
2014-2015,November,MAP,Uttaranchal,0.00,0.00,,,
2014-2015,November,MOP,Uttaranchal,0.00,163.75,,,
2014-2015,November,NPK,Uttaranchal,0.00,3592.50,,,
2014-2015,November,TSP,Uttaranchal,0.00,0.00,,,
2014-2015,November,UREA,Uttaranchal,0.00,5851.60,,,
2014-2015,November,SSP,Uttaranchal,0.00,0.00,,,
2014-2015,November,DAP,West Bengal,50000.00,2383.00,,,
2014-2015,November,MAP,West Bengal,0.00,0.00,,,
2014-2015,November,MOP,West Bengal,28000.00,23494.55,,,
2014-2015,November,NPK,West Bengal,125000.00,23732.77,,,
2014-2015,November,TSP,West Bengal,0.00,7377.55,,,
2014-2015,November,UREA,West Bengal,160000.00,7159.06,,,
2014-2015,November,SSP,West Bengal,0.00,0.00,,,
2014-2015,December,DAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,December,MAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,December,MOP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,December,NPK,Andaman & Nicobar,0.00,0.00,,,
2014-2015,December,TSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,December,UREA,Andaman & Nicobar,0.00,0.00,,,
2014-2015,December,SSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,December,DAP,Andhra Pradesh,35000.00,7994.42,,,
2014-2015,December,MAP,Andhra Pradesh,0.00,0.00,,,
2014-2015,December,MOP,Andhra Pradesh,25000.00,27144.85,,,
2014-2015,December,NPK,Andhra Pradesh,123000.00,42510.34,,,
2014-2015,December,TSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,December,UREA,Andhra Pradesh,150000.00,4879.40,,,
2014-2015,December,SSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,December,DAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,December,MAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,December,MOP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,December,NPK,Arunachal Pradesh,0.00,0.00,,,
2014-2015,December,TSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,December,UREA,Arunachal Pradesh,0.00,0.00,,,
2014-2015,December,SSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,December,DAP,Assam,0.00,2180.85,,,
2014-2015,December,MAP,Assam,0.00,0.00,,,
2014-2015,December,MOP,Assam,0.00,13990.65,,,
2014-2015,December,NPK,Assam,0.00,1823.40,,,
2014-2015,December,TSP,Assam,0.00,0.00,,,
2014-2015,December,UREA,Assam,0.00,311.10,,,
2014-2015,December,SSP,Assam,0.00,0.00,,,
2014-2015,December,DAP,Bihar,0.00,18390.80,,,
2014-2015,December,MAP,Bihar,0.00,0.00,,,
2014-2015,December,MOP,Bihar,0.00,15659.35,,,
2014-2015,December,NPK,Bihar,0.00,11077.80,,,
2014-2015,December,TSP,Bihar,0.00,7673.75,,,
2014-2015,December,UREA,Bihar,0.00,9337.64,,,
2014-2015,December,SSP,Bihar,0.00,0.00,,,
2014-2015,December,DAP,Chandigarh,0.00,0.00,,,
2014-2015,December,MAP,Chandigarh,0.00,0.00,,,
2014-2015,December,MOP,Chandigarh,0.00,0.00,,,
2014-2015,December,NPK,Chandigarh,0.00,0.00,,,
2014-2015,December,TSP,Chandigarh,0.00,0.00,,,
2014-2015,December,UREA,Chandigarh,0.00,0.00,,,
2014-2015,December,SSP,Chandigarh,0.00,0.00,,,
2014-2015,December,DAP,Chattishgarh,0.00,4360.15,,,
2014-2015,December,MAP,Chattishgarh,0.00,0.00,,,
2014-2015,December,MOP,Chattishgarh,0.00,15969.85,,,
2014-2015,December,NPK,Chattishgarh,0.00,4486.29,,,
2014-2015,December,TSP,Chattishgarh,0.00,3858.25,,,
2014-2015,December,UREA,Chattishgarh,0.00,1196.95,,,
2014-2015,December,SSP,Chattishgarh,0.00,0.00,,,
2014-2015,December,DAP,Dadra & Nagar Haveli,0.00,37.80,,,
2014-2015,December,MAP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,December,MOP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,December,NPK,Dadra & Nagar Haveli,0.00,23.10,,,
2014-2015,December,TSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,December,UREA,Dadra & Nagar Haveli,0.00,32.50,,,
2014-2015,December,SSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,December,DAP,Daman & Diu,0.00,0.00,,,
2014-2015,December,MAP,Daman & Diu,0.00,0.00,,,
2014-2015,December,MOP,Daman & Diu,0.00,0.00,,,
2014-2015,December,NPK,Daman & Diu,0.00,0.00,,,
2014-2015,December,TSP,Daman & Diu,0.00,0.00,,,
2014-2015,December,UREA,Daman & Diu,0.00,0.00,,,
2014-2015,December,SSP,Daman & Diu,0.00,0.00,,,
2014-2015,December,DAP,Delhi,0.00,0.00,,,
2014-2015,December,MAP,Delhi,0.00,0.00,,,
2014-2015,December,MOP,Delhi,0.00,0.00,,,
2014-2015,December,NPK,Delhi,0.00,0.00,,,
2014-2015,December,TSP,Delhi,0.00,0.00,,,
2014-2015,December,UREA,Delhi,1500.00,0.00,,,
2014-2015,December,SSP,Delhi,0.00,0.00,,,
2014-2015,December,DAP,Goa,0.00,29.25,,,
2014-2015,December,MAP,Goa,0.00,0.00,,,
2014-2015,December,MOP,Goa,0.00,0.00,,,
2014-2015,December,NPK,Goa,0.00,9.25,,,
2014-2015,December,TSP,Goa,0.00,0.00,,,
2014-2015,December,UREA,Goa,0.00,5.50,,,
2014-2015,December,SSP,Goa,0.00,0.00,,,
2014-2015,December,DAP,Gujarat,0.00,6975.87,,,
2014-2015,December,MAP,Gujarat,0.00,0.00,,,
2014-2015,December,MOP,Gujarat,0.00,2717.90,,,
2014-2015,December,NPK,Gujarat,0.00,13342.66,,,
2014-2015,December,TSP,Gujarat,0.00,6313.85,,,
2014-2015,December,UREA,Gujarat,0.00,11883.40,,,
2014-2015,December,SSP,Gujarat,0.00,0.00,,,
2014-2015,December,DAP,Harayana,0.00,6775.15,,,
2014-2015,December,MAP,Harayana,0.00,0.00,,,
2014-2015,December,MOP,Harayana,0.00,7140.90,,,
2014-2015,December,NPK,Harayana,0.00,252.55,,,
2014-2015,December,TSP,Harayana,0.00,0.00,,,
2014-2015,December,UREA,Harayana,0.00,1902.30,,,
2014-2015,December,SSP,Harayana,0.00,0.00,,,
2014-2015,December,DAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,December,MAP,Himachal Pradesh,0.00,0.00,,,
